tipo,odor,cor_chapeu,cor_branquias,regiao,cor_esporos
Venenoso,Pungente,Castanho,Preto,Urbano,Preto
Comestivel,Almíscar,Amarelo,Preto,Gramados,Castanho
Comestivel,Anis,Branco,Castanho,Prados,Castanho
Venenoso,Pungente,Branco,Castanho,Urbano,Preto
Comestivel,Nenhum,Cinzento,Preto,Gramados,Castanho
Comestivel,Almíscar,Amarelo,Castanho,Gramados,Preto
Comestivel,Almíscar,Branco,Cinzento,Prados,Preto
Comestivel,Anis,Branco,Castanho,Prados,Castanho
Venenoso,Pungente,Branco,Rosa,Gramados,Preto
Comestivel,Almíscar,Amarelo,Cinzento,Prados,Preto
Comestivel,Anis,Amarelo,Cinzento,Gramados,Castanho
Comestivel,Almíscar,Amarelo,Castanho,Prados,Preto
Comestivel,Almíscar,Amarelo,Branco,Gramados,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Castanho
Comestivel,Nenhum,Castanho,Castanho,Gramados,Preto
Comestivel,Nenhum,Cinzento,Preto,Urbano,Castanho
Comestivel,Nenhum,Branco,Preto,Gramados,Castanho
Venenoso,Pungente,Castanho,Castanho,Gramados,Preto
Venenoso,Pungente,Branco,Castanho,Urbano,Castanho
Venenoso,Pungente,Castanho,Preto,Urbano,Castanho
Comestivel,Almíscar,Amarelo,Preto,Prados,Castanho
Venenoso,Pungente,Castanho,Castanho,Gramados,Castanho
Comestivel,Anis,Amarelo,Preto,Prados,Castanho
Comestivel,Almíscar,Branco,Branco,Prados,Castanho
Comestivel,Anis,Branco,Cinzento,Prados,Preto
Venenoso,Pungente,Branco,Castanho,Gramados,Castanho
Comestivel,Almíscar,Amarelo,Castanho,Prados,Castanho
Comestivel,Anis,Branco,Branco,Prados,Castanho
Comestivel,Nenhum,Castanho,Preto,Urbano,Preto
Comestivel,Almíscar,Amarelo,Castanho,Madeira/Árvores,Castanho
Comestivel,Anis,Amarelo,Cinzento,Prados,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Castanho
Comestivel,Anis,Amarelo,Castanho,Prados,Castanho
Comestivel,Anis,Castanho,Rosa,Caminhos,Castanho
Comestivel,Anis,Amarelo,Castanho,Prados,Castanho
Comestivel,Anis,Amarelo,Branco,Madeira/Árvores,Castanho
Comestivel,Nenhum,Cinzento,Preto,Urbano,Preto
Venenoso,Pungente,Castanho,Branco,Urbano,Castanho
Comestivel,Almíscar,Amarelo,Rosa,Madeira/Árvores,Castanho
Comestivel,Anis,Amarelo,Preto,Prados,Preto
Comestivel,Almíscar,Amarelo,Castanho,Gramados,Castanho
Comestivel,Anis,Amarelo,Castanho,Caminhos,Preto
Comestivel,Nenhum,Castanho,Cinzento,Urbano,Preto
Venenoso,Pungente,Branco,Rosa,Gramados,Castanho
Comestivel,Almíscar,Amarelo,Branco,Prados,Preto
Comestivel,Almíscar,Branco,Castanho,Gramados,Castanho
Comestivel,Anis,Amarelo,Preto,Prados,Preto
Comestivel,Anis,Branco,Branco,Prados,Castanho
Comestivel,Anis,Amarelo,Castanho,Caminhos,Castanho
Comestivel,Anis,Amarelo,Branco,Caminhos,Preto
Comestivel,Almíscar,Castanho,Branco,Gramados,Preto
Comestivel,Anis,Branco,Preto,Gramados,Preto
Comestivel,Anis,Branco,Preto,Prados,Castanho
Venenoso,Pungente,Castanho,Preto,Urbano,Castanho
Venenoso,Pungente,Branco,Preto,Urbano,Preto
Comestivel,Almíscar,Amarelo,Branco,Prados,Preto
Comestivel,Nenhum,Cinzento,Castanho,Gramados,Castanho
Comestivel,Almíscar,Branco,Branco,Gramados,Castanho
Comestivel,Anis,Amarelo,Preto,Gramados,Preto
Comestivel,Almíscar,Castanho,Rosa,Caminhos,Preto
Comestivel,Nenhum,Cinzento,Preto,Urbano,Castanho
